city,zip,lat,lon
"Berge bei Perleberg",19348,53.23746,11.87077
"Pörnbach",85309,48.6167,11.4667
"Osterrönfeld Heidkrug, Gemeinde Osterrönfeld",24790,54.27536,9.737535
Hildburghausen,98646,50.43950110601,10.723922177567
"Frankenfeld, Aller",27336,52.76951,9.43078000000003
Karenz,19294,53.23012,11.34384
"Wendisch Priborn Tönchow",19395,53.34181,12.3207600000001
"Eßleben-Teutleben",99628,51.1417,11.4583
Wenze,38486,52.56471,11.13311
"Nürtingen",72622,48.6333,9.35
Eystrup,27324,52.7764,9.21752
"Buddenhagen bei Wolgast",17440,54.0000756749505,13.6904298782349
"Dümmer Walsmühlen",19073,53.56353,11.2614100000001
"Reinsdorf bei Zwickau",08141,50.7,12.5833
Aseleben,06317,51.48859,11.67065
"Dürrholz",56307,50.5889,7.57222
"Putbus Altkamp",18581,54.315887,13.42442
"Mittelfischbach, Rhein-Lahn-Kreis",56370,50.25,7.95
"Karlsruhe (Baden) Daxlanden",76185,49.0047,8.38583
"Karlsruhe (Baden) Daxlanden",76189,49.0047,8.38583
"Wittgendorf bei Saalfeld",07318,50.6,11.2333
"Brüsewitz Gottmannsförde",19071,53.68279,11.2731200000001
Messenkamp,31867,52.260082,9.379738
"Rossau bei Mittweida",09661,51.0,13.0667
"Halle, Kreis Holzminden",37620,51.99053,9.56191000000001
Oberehe-Stroheich,54578,50.2833,6.76667
"Gnoien Finkenthal",17179,53.94062,12.77757
"Dörpen",26892,52.96848,7.34218999999996
Krostitz,04509,51.46221,12.45321
"Eisenberg, Allgäu",87637,47.6,10.6
"Kandel, Pfalz",76870,49.0892,8.18417
Molau,06618,51.05,11.7833
"Altenmünster, Schwaben",86450,48.4667,10.6
"Dessau-Roßlau",06842,51.84247,12.2305200000001
"Dessau-Roßlau",06844,51.84247,12.2305200000001
"Dessau-Roßlau",06846,51.84247,12.2305200000001
"Dessau-Roßlau",06847,51.84247,12.2305200000001
"Dessau-Roßlau",06849,51.84247,12.2305200000001
"Dessau-Roßlau",06861,51.84247,12.2305200000001
"Dessau-Roßlau",06862,51.84247,12.2305200000001
Rugendorf,95365,50.2,11.4667
"Matzerath, Eifel",54597,50.15,6.38333
"Saarbrücken Schafbrücke",66121,49.2333,7.0
"Eggenthal, Schwaben",87653,47.9167,10.5167
Osterstedt,25590,54.11061,9.57374000000004
Derental,37691,51.69517,9.43173000000002
Leck,25917,54.7718980373985,8.97466555293232
"Ferdinandshof, Vorpommern Sprengersfelde",17379,53.68983,13.89665
Langelsheim,38685,51.93581,10.3324700000001
Ballstedt,99439,51.05,11.2167
Geringswalde,09326,51.0833,12.9167
Vlotho,32602,52.16162,8.85589000000004
Rosendorf,07819,50.7667,11.7833
Domnitz,06420,51.63168,11.8376900000001
Woggersin,17039,53.60729,13.2317399999999
"Werder (Havel)",14542,52.3708,12.93238
"Neresheim Hohenlohe bei Bopfingen",73441,48.8166667,10.2833333
"Velgast Manschenhagen",18469,54.2814335847514,12.7796853915405
"Glückstadt",25348,53.788403,9.423933
"Lichtenau (Baden)",77839,48.7333,8.01667
"Eichstätt, Bayern",85072,48.8975,11.1717
"Ihlow bei Jüterbog Rietdorf",15936,51.8846,13.37919
"Giesensdorf bei Ratzeburg",23909,53.68851,10.71397
Meddewade,23847,53.8096,10.43967
"Heiden, Kreis Borken",46359,51.82582,6.93602999999996
"Witten Stockum",58454,51.46789,7.36652000000004
"Dohren, Emsl",49770,52.64135,7.59027000000003
"Völpke",39393,52.1400461875647,11.1023837301636
"Altheim bei Riedlingen (Württemberg)",88499,48.15,9.45
"Mannheim Rheinau",68199,49.4252778,8.53
"Mannheim Rheinau",68219,49.4252778,8.53
Dauchingen,78083,48.0833,8.55
Wirfus,56814,50.2,7.2
Seelze,30926,52.39501,9.59397000000001
"Briesen, Niederlausitz",03096,51.8167,14.25
"Atting bei Straubing",94348,48.9,12.4833
Zierow,23968,53.92742,11.37768
Asperg,71679,48.9,9.11667
Niederwerth,56179,50.4,7.61667
Kreuzwertheim,97892,49.7672,9.51833
"Stapelfeld, Bezirk Hamburg",22145,53.60558,10.21993
"Bad Liebenwerda Lausitz",04924,51.5123,13.35296
Schaufling,94571,48.85,13.0667
"Erbach (Odenwald) Marbach, Odenwald",64743,49.6065,8.9875
Hadmersleben,39398,51.99174,11.30197
Kloschwitz,06198,51.58529,11.7564
Auufer,25548,53.923233,9.681892
"Walsleben (Altmark)",39606,52.7582,11.85445
Langballig,24977,54.7970142576,9.63691100533
"Holdorf bei Gadebusch",19217,53.72932,11.06597
"Elbingerode, Niedersachsen",37412,51.65898,10.27799
"Leimbach bei Bad Salzungen",36433,50.8167,10.2
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06729,51.0833333333,12.21168
Elsteraue,06729,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06729,51.0833333333,12.21168
Elsteraue,06729,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
Elsteraue,06712,51.0833333333,12.21168
"Boock (Altmark)",39606,52.78782,11.53955
Lambrechtshagen,18069,54.10206,12.01595
Eppingen,75031,49.1369,8.91028
"Möckern bei Burg",39291,52.15239,11.95359
"Kemnitz bei Greifswald Kemnitzerhagen",17509,54.0630732633445,13.5423610687255
Mettweiler,55777,49.5833,7.31667
Oy-Mittelberg,87466,47.6333,10.4333
Unterbreizbach,36414,50.8167,9.98333
Dennweiler-Frohnbach,66871,49.5833,7.38333
Henstedt-Ulzburg,24558,53.79032,9.9803
"Königstein im Taunus",61462,50.1833,8.46667
"Sassnitz Dubnitz",18546,54.49743,13.58208
"Bruchmühlbach-Miesau",66892,49.3833,7.43333
Tonna,99958,51.075,10.7333
Kirsbach,53539,50.3333,7.0
Hohenbollentin,17111,53.78846,13.02097
"Putbus Darsband",18581,54.36024,13.465583
"Pommern, Mosel",56829,50.1667,7.28333
Freckleben,06449,51.7015,11.54749
"Gaißach, Oberbayern",83674,47.75,11.5833
"Drage bei Hohenaspe",25582,54.003443,9.519824
"Höchenschwand",79862,47.7333,8.16667
"Fredersdorf-Vogelsdorf Fredersdorf bei Berlin",15370,52.53176,13.75567
Butjadingen,26969,53.5501577338822,8.33328338623051
Altenzaun,39596,52.7402,12.02574
"Bitterfeld-Wolfen Thalheim bei Wolfen",06766,51.6492515257275,12.2296391217042
Schwanstetten,90596,49.3,11.1167
Gumtow,16866,52.97835,12.24995
"Mirow, Mecklenburg",17252,53.27331,12.8168900000001
"Dornum, Ostfriesland",26553,53.6555,7.43019
Altenholz,24161,54.4016457700682,10.1185690820218
"Schenkenhorst, Altmark",39638,52.60278,11.39514
"Möser",39291,52.2179007832045,11.7914654867554
Zapfendorf,96199,50.0333,10.9333
"Carmzow-Wallmow Wallmow",17291,53.34133,14.08544
"Großrückerswalde",09518,50.6333,13.1167
"Bergen auf Rügen Silvitz",18528,54.395833,13.503478
"Schöppingen",48624,52.0940944626722,7.23706363494875
"Zehnhausen bei Rennerod",56477,50.65,8.06667
"Prümzurlay",54668,49.8667,6.43333
"Bad Wünnenberg",33181,51.51728,8.69938999999999
Tessenow,19376,53.35421,11.89909
Schillingen,54429,49.6333,6.78333
Knittlingen,75438,49.0275,8.75389
"Altefähr Klein Bandelvitz",18573,54.31525,13.1589300000001
Juist,26571,53.6768,6.99253
Neukirchen-Vluyn,47506,51.4425108617499,6.55381946563716
Penig,04657,50.9333,12.7167
Penig,09322,50.9333,12.7167
"Groß Luckow",17337,53.53538,13.83227
Vogelsang,15890,52.18197,14.66392
"Oldendorf, Holstein",25588,53.953409,9.458583
Kleinsteinhausen,66484,49.2,7.46667
"Offenheim, Rheinhessen",55234,49.7256,8.03028
"Hohburg bei Wurzen",04808,51.41241,12.80066
"Rövershagen",18182,54.17642,12.23382
Alperstedt,99195,51.1,11.05
"Neustadt in Sachsen",01844,51.02528,14.2111
"Neuschönau",94556,48.8833,13.4833
Wiedensahl,31719,52.3825,9.11936
Erftstadt,50374,50.8167,6.76667
Krummesse,23628,53.78038,10.64071
Martinsrieth,06528,51.4404161454338,11.2447154815674
"Sulzbach bei Idar-Oberstein",55758,49.8333,7.33333
Mettmann,40822,51.25097,6.97401000000002
"Hilpoltstein, Mittelfranken",91161,49.19,11.1886
Wickerode,06536,51.47671,11.13207
Dortmund,44135,51.504225397481,7.48365411122495
Dortmund,44137,51.504225397481,7.48365411122495
Dortmund,44139,51.504225397481,7.48365411122495
